asset_id,label,category,status,num_vertices,primary_labeled_vertices,multilabel_labeled_vertices,primary_coverage,multilabel_coverage,overlap_vertices,positive_grasp_vertices,negative_grasp_vertices,tool_use_surface_vertices,safe_contact_vertices,warnings
domino20/mug,mug,,labeled,11519,1602,1602,0.139075,0.139075,411,1191,411,411,0,tool_use_hidden_by_primary_overlap
domino20/cup,cup,,labeled,11517,5156,5156,0.447686,0.447686,3995,5114,3995,3995,0,tool_use_hidden_by_primary_overlap
domino20/bottle,bottle,,labeled,10587,7976,7976,0.753377,0.753377,3321,7614,3325,1231,0,tool_use_hidden_by_primary_overlap
domino20/drill,drill,,labeled,19385,10390,10390,0.535981,0.535981,4406,3247,1490,10059,0,
domino20/pill_bottle,pill_bottle,,labeled,19913,12273,12273,0.616331,0.616331,3480,8793,3480,3480,0,tool_use_hidden_by_primary_overlap
domino20/milk_box,milk_box,,labeled,19023,14765,14765,0.776166,0.776166,3998,14753,3998,3998,0,tool_use_hidden_by_primary_overlap
domino20/can,can,,labeled,20738,12179,12179,0.587279,0.587279,2429,9900,2429,2429,0,tool_use_hidden_by_primary_overlap
domino20/milk_tea,milk_tea,,labeled,17973,14213,14213,0.790797,0.790797,214,14212,214,214,0,tool_use_hidden_by_primary_overlap
domino20/sauce_can,sauce_can,,labeled,19739,7600,7600,0.385025,0.385025,4183,3889,4183,4183,0,tool_use_hidden_by_primary_overlap
domino20/tea_box,tea_box,,labeled,21264,18380,18380,0.864372,0.864372,195,18370,195,195,0,tool_use_hidden_by_primary_overlap
domino20/bowl,bowl,,labeled,10361,9197,9197,0.887656,0.887656,7476,5577,7730,5862,0,
domino20/plate,plate,,labeled,10245,5397,5397,0.526794,0.526794,2491,2931,2491,2491,0,tool_use_hidden_by_primary_overlap
domino20/hammer,hammer,,labeled,11242,8538,8538,0.759473,0.759473,5346,5206,6819,5093,0,tool_use_hidden_by_primary_overlap
domino20/screwdriver,screwdriver,,labeled,9721,4673,4673,0.480712,0.480712,2098,3545,3205,66,0,tool_use_hidden_by_primary_overlap
domino20/apple,apple,,labeled,49126,40346,40346,0.821276,0.821276,40346,40346,102,40346,0,tool_use_hidden_by_primary_overlap
domino20/book,book,,labeled,26813,12563,12563,0.468541,0.468541,1289,12563,1289,1289,0,tool_use_hidden_by_primary_overlap
domino20/mouse,mouse,,labeled,18392,14378,14378,0.781753,0.781753,9885,14300,9963,309,0,tool_use_hidden_by_primary_overlap
domino20/stapler,stapler,,labeled,30202,9441,9441,0.312595,0.312595,243,9336,235,257,0,
domino20/dumbbell,dumbbell,,labeled,25084,6740,6740,0.268697,0.268697,6739,354,6739,6739,0,tool_use_hidden_by_primary_overlap
domino20/kettle,kettle,,labeled,19932,6767,6767,0.339504,0.339504,2194,3355,4888,1930,0,tool_use_hidden_by_primary_overlap
